seed,batch,round,sequence,position,target_token,active_cells,nll_full,nll_keep80,nll_keep60,nll_keep40,nll_remove4,kept80,kept60,kept40,kept_remove4,marginal_last20,marginal_last4,utility_full_to40
1337,1,2,5,35,58,26,3.0502376556396484,3.130825996398926,3.3108444213867188,6.431359767913818,3.127209186553955,21,16,10,22,0.08058834075927734,0.07697153091430664,3.38112211227417
1337,1,2,6,121,43,20,0.8694788217544556,0.81924968957901,0.838416337966919,0.8872247934341431,0.81924968957901,16,12,8,16,-0.05022913217544556,-0.05022913217544556,0.0177459716796875
1337,1,2,7,15,43,25,1.4396545886993408,1.4640429019927979,1.72027587890625,2.9176487922668457,1.4387028217315674,20,15,10,21,0.02438831329345703,-0.0009517669677734375,1.4779942035675049
1337,1,3,0,94,1,17,1.2809189558029175,1.3998183012008667,1.7724380493164062,2.0061068534851074,1.4028260707855225,14,10,7,13,0.11889934539794922,0.12190711498260498,0.7251878976821899
1337,1,3,1,18,2,18,6.276131629943848,6.3485798835754395,6.261815547943115,6.477945804595947,6.3485798835754395,14,11,7,14,0.0724482536315918,0.0724482536315918,0.2018141746520996
1337,1,3,2,45,13,28,5.477240085601807,4.942456245422363,4.55566930770874,4.419732570648193,4.985496997833252,22,17,11,24,-0.5347838401794434,-0.4917430877685547,-1.0575075149536133
1337,1,3,3,46,43,24,4.58632755279541,4.544281959533691,4.554244041442871,4.227481842041016,4.552910804748535,19,14,10,20,-0.04204559326171875,-0.033416748046875,-0.35884571075439453
1337,1,3,4,24,1,13,1.1106098890304565,1.3523516654968262,1.3010599613189697,1.2342101335525513,1.6171607971191406,10,8,5,9,0.24174177646636963,0.5065509080886841,0.12360024452209473
1337,1,3,5,44,42,23,2.1080894470214844,2.11171293258667,2.2641422748565674,2.5395119190216064,2.0575764179229736,18,14,9,19,0.003623485565185547,-0.05051302909851074,0.43142247200012207
1337,1,3,6,86,42,25,4.232281684875488,4.692265033721924,4.500813007354736,4.008109092712402,4.439632415771484,20,15,10,21,0.45998334884643555,0.2073507308959961,-0.22417259216308594
1337,1,3,7,47,58,23,1.6960773468017578,1.8986108303070068,2.0712780952453613,5.877194404602051,1.8979933261871338,18,14,9,19,0.20253348350524902,0.20191597938537598,4.181117057800293
