active_cells,active_edges,average_path_length,longest_path,average_branching_factor,average_merge_factor
20,39,2.8,5,3.1818181818181817,2.1875
18,45,2.388888888888889,4,3.727272727272727,2.7333333333333334
23,54,3.4782608695652173,6,4.545454545454546,2.6315789473684212
18,21,1.3333333333333333,2,4.5,1.5
21,25,1.2857142857142858,2,4.5,1.5
13,27,3.923076923076923,6,3.5714285714285716,2.0833333333333335
20,68,3.45,7,3.857142857142857,3.375
23,79,4.130434782608695,8,4.470588235294118,3.8
20,48,2.1,4,5.0,2.5
17,38,3.235294117647059,6,4.571428571428571,2.4615384615384617
22,72,2.772727272727273,5,4.416666666666667,3.1176470588235294
24,72,2.2083333333333335,4,4.8,2.6666666666666665
22,82,3.9545454545454546,8,4.875,4.105263157894737
24,40,1.7916666666666667,4,4.6,2.3
20,30,2.05,3,5.25,1.4
19,57,3.210526315789474,6,4.25,3.1875
26,85,3.923076923076923,7,5.333333333333333,3.6363636363636362
25,86,3.52,6,4.133333333333334,2.9523809523809526
19,29,3.9473684210526314,6,4.5,1.588235294117647
21,54,3.5714285714285716,7,4.4,2.3157894736842106
31,103,3.903225806451613,7,6.533333333333333,3.6296296296296298
20,42,2.65,4,4.6,1.6428571428571428
17,25,1.9411764705882353,5,2.3333333333333335,1.75
23,64,3.1739130434782608,6,3.6923076923076925,2.2857142857142856
22,60,3.590909090909091,7,3.8333333333333335,2.4210526315789473
21,31,4.142857142857143,6,4.833333333333333,1.5263157894736843
