node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
20,5,0,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.006211318075656891,0.0
21,5,1,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.003965370357036591,0.0
22,5,2,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0009842440485954285,0.0
23,5,3,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.002297833561897278,0.0
24,6,0,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0034087002277374268,0.0
25,6,1,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.005096837878227234,0.0
26,6,2,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0026143118739128113,0.0
27,6,3,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.005278535187244415,0.0
28,7,0,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0026399344205856323,0.0
29,7,1,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0043542832136154175,0.0
30,7,2,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.005116574466228485,0.0
31,7,3,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0032806172966957092,0.0
