checkpoint,iter,layer,mean_width,width_ratio,router_entropy,width64_fraction,width64_prob,width128_fraction,width128_prob,width256_fraction,width256_prob,width512_fraction,width512_prob,run
ckpt_iter_300.pt,300,3,238.78125,0.46636962890625,0.7253744602203369,0.409423828125,0.3922482766211033,0.0677490234375,0.1442133281379938,0.2491455078125,0.22851724177598953,0.273681640625,0.23502116464078426,B_dynamic_cost0
ckpt_iter_300.pt,300,4,238.6484375,0.4661102294921875,1.1567282527685165,0.1268310546875,0.23463254608213902,0.357421875,0.3013626001775265,0.3096923828125,0.2592219617217779,0.2060546875,0.2047828994691372,B_dynamic_cost0
ckpt_iter_300.pt,300,5,247.546875,0.483489990234375,1.0100699365139008,0.445068359375,0.39997388795018196,0.073974609375,0.15538986586034298,0.1431884765625,0.17571482062339783,0.3377685546875,0.268921434879303,B_dynamic_cost0
ckpt_iter_300.pt,300,6,234.8046875,0.4586029052734375,0.8822537064552307,0.4793701171875,0.42058925703167915,0.110595703125,0.1441186275333166,0.0780029296875,0.15368560701608658,0.33203125,0.281606525182724,B_dynamic_cost0
ckpt_iter_300.pt,300,7,224.5,0.4384765625,0.7344934865832329,0.424072265625,0.37641826644539833,0.0775146484375,0.11541406810283661,0.2646484375,0.26776617765426636,0.2337646484375,0.2404014840722084,B_dynamic_cost0
ckpt_iter_300.pt,300,8,194.4609375,0.3798065185546875,0.9021590501070023,0.5250244140625,0.4409572556614876,0.1478271484375,0.2826937548816204,0.099853515625,0.0974983898922801,0.227294921875,0.17885060235857964,B_dynamic_cost0
ckpt_iter_500.pt,500,1,291.6015625,0.5695343017578125,1.0694996863603592,0.2855224609375,0.28200800344347954,0.1143798828125,0.15532443299889565,0.189697265625,0.2310817912220955,0.410400390625,0.3315857723355293,B_dynamic_cost0
ckpt_iter_500.pt,500,2,166.3671875,0.3249359130859375,1.1118244677782059,0.3731689453125,0.30492978543043137,0.3411865234375,0.3161037340760231,0.185302734375,0.2130220476537943,0.100341796875,0.16594443656504154,B_dynamic_cost0
ckpt_iter_500.pt,500,3,178.1328125,0.3479156494140625,0.78556789457798,0.4290771484375,0.4187044985592365,0.1907958984375,0.15764125622808933,0.26708984375,0.2525496892631054,0.113037109375,0.1711045540869236,B_dynamic_cost0
ckpt_iter_500.pt,500,4,158.5234375,0.3096160888671875,1.0319609194993973,0.4029541015625,0.33478471264243126,0.2891845703125,0.3351394832134247,0.2418212890625,0.22647651098668575,0.0660400390625,0.10359928663820028,B_dynamic_cost0
ckpt_iter_500.pt,500,5,189.9921875,0.3710784912109375,0.9426250904798508,0.5499267578125,0.43574337288737297,0.0745849609375,0.1480236817151308,0.18359375,0.18394196592271328,0.19189453125,0.23229097947478294,B_dynamic_cost0
ckpt_iter_500.pt,500,6,220.9296875,0.4315032958984375,0.7115492448210716,0.5330810546875,0.48390892148017883,0.100830078125,0.14200791344046593,0.0528564453125,0.0961083872243762,0.313232421875,0.27797479555010796,B_dynamic_cost0
ckpt_iter_500.pt,500,7,236.0703125,0.4610748291015625,0.6367663070559502,0.3702392578125,0.35382600873708725,0.087890625,0.10538785625249147,0.298095703125,0.27908750250935555,0.2437744140625,0.261698629707098,B_dynamic_cost0
ckpt_iter_500.pt,500,8,197.703125,0.386138916015625,0.8201911076903343,0.4697265625,0.4340291917324066,0.2030029296875,0.26652074977755547,0.1011962890625,0.09610185958445072,0.22607421875,0.20334821194410324,B_dynamic_cost0
ckpt_iter_1000.pt,1000,1,171.8359375,0.3356170654296875,1.0685524195432663,0.5179443359375,0.33241668343544006,0.125244140625,0.17527656443417072,0.2344970703125,0.24035803601145744,0.122314453125,0.2519487049430609,B_dynamic_cost0
ckpt_iter_1000.pt,1000,2,149.3125,0.2916259765625,1.1236001253128052,0.4599609375,0.3389298804104328,0.241943359375,0.25470885820686817,0.2489013671875,0.23707102797925472,0.0491943359375,0.16929022781550884,B_dynamic_cost0
